Kingdom,Order,Genus,Species,Life stage,Primary Reference,Primary Reference Link,Secondary Reference,Secondary Reference Link
Animalia,,Polypedilum,pembai,Larva,"Suemoto et al., 2004; Benoit and Denlinger, 2007; Nakahara et al., 2008; Thorat and Nath, 2016; Thorat et al., 2017",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Belgica,antarctica,Larva,"Suemoto et al., 2004; Benoit and Denlinger, 2007; Nakahara et al., 2008; Thorat and Nath, 2016; Thorat et al., 2017",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Chironomus,ramosus,Larva,"Suemoto et al., 2004; Benoit and Denlinger, 2007; Nakahara et al., 2008; Thorat and Nath, 2016; Thorat et al., 2017",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Chironomus,kiiensis,Larva,"Suemoto et al., 2004; Benoit and Denlinger, 2007; Nakahara et al., 2008; Thorat and Nath, 2016; Thorat et al., 2017",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Chironomus,crassiforceps,Larva,"Suemoto et al., 2004; Benoit and Denlinger, 2007; Nakahara et al., 2008; Thorat and Nath, 2016; Thorat et al., 2017",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,C.,nipponodaiaris,Larva,"Suemoto et al., 2004; Benoit and Denlinger, 2007; Nakahara et al., 2008; Thorat and Nath, 2016; Thorat et al., 2017",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,D,biwaipremus,Larva,"Suemoto et al., 2004; Benoit and Denlinger, 2007; Nakahara et al., 2008; Thorat and Nath, 2016; Thorat et al., 2017",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,C.,flavioplums,Larva,"Suemoto et al., 2004; Benoit and Denlinger, 2007; Nakahara et al., 2008; Thorat and Nath, 2016; Thorat et al., 2017",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Chironomus,salinarius,Larva,"Suemoto et al., 2004; Benoit and Denlinger, 2007; Nakahara et al., 2008; Thorat and Nath, 2016; Thorat et al., 2017",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,C.,circumcinctus,Larva,"Suemoto et al., 2004; Benoit and Denlinger, 2007; Nakahara et al., 2008; Thorat and Nath, 2016; Thorat et al., 2017",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
