"Rose A. Marks, Jill M. Farrant, D. Nicholas McLetchie, and Robert VanBuren - American Journal of Botany - 2020 - Appendix S1",,,,,,,,,,,
Division,Class,Order,Family,Genus,Species,Minimum RH (%),Minimum RWC (%),Homoi vs poikilochlorophyllous,Evidence of priming or hardening ,Tissues differ in recovery,Citation
Angiosperms,Magnoliopsida,Poales,Poaceae,Tripogon,spicatus,0,,,,,"Gaff 1987, Iturriaga et al 2000, Aidar et al 2017, Blomstedt et al 2018"
Anthocerotophyta,Anthocerotopsida,Anthocerotales,Dendrocerotaceae,Anthoceros,angustus,,,homoi,,,Zhang et al 2020
Anthocerotophyta,Dendrocerotidae,Dendrocerotales,Dendrocerotaceae,Dendroceros,granulosus,,,homoi,,,Wood 2007
Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,rothii,30,,homoi,no seasonal,,"Dilks and Proctor 1976, Hearnshaw and Proctor 1982, Proctor 2003"
Bryophyta,Bryopsida,Bartramiales,Bartramiaceae,Bartramia,stricta,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,algovicum,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,argenteum,30,,homoi,,"yes, life stages",Wood 2007
Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,caespiticium,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,capillare,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Bryales,Mniaceae,Mnium,hornum,30,,homoi,priming,,Wood 2007 Proctor 2010
Bryophyta,Bryopsida,Bryales,Mniaceae,Mnium,marginatum,30,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,Bryales,Mniaceae,Mnium,spinosum,30,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,Bryales,Mniaceae,Mnium,stellare,30,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,Bryales,Mniaceae,Plagiomnium,cinclidoides,75,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Bryales,Mniaceae,Plagiomnium,cuspidatum,30,,homoi,priming,,"Wood 2007, Streusand et al 1986"
Bryophyta,Bryopsida,Bryales,Mniaceae,Plagiomnium,elatum,30,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,Bryales,Mniaceae,Plagiomnium,maximoviczii,30,,homoi,,,"Ochi 1952, Wood 2007"
Bryophyta,Bryopsida,Bryales,Mniaceae,Plagiomnium,medium,30,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,Bryales,Mniaceae,Plagiomnium,rostratum,30,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,Bryales,Mniaceae,Plagiomnium,undulatum,30,,homoi,,,Wood 2007
