"Order","Kingdom","Genus","Species","Class","Phylum","Family"
"Puniceicoccales","Bacteria",NA,NA,NA,NA,NA
"Opitutales","Bacteria",NA,NA,NA,NA,NA
"Limisphaerales","Bacteria",NA,NA,NA,NA,NA
"Verrucomicrobiales","Bacteria",NA,NA,NA,NA,NA
"Chthoniobacterales","Bacteria",NA,NA,NA,NA,NA
"Phormidesmidales","Bacteria",NA,NA,NA,NA,NA
"Elainellales","Bacteria",NA,NA,NA,NA,NA
"Gomontiellales","Bacteria",NA,NA,NA,NA,NA
"Coleofasciculales","Bacteria",NA,NA,NA,NA,NA
"Geitlerinematales","Bacteria",NA,NA,NA,NA,NA
"Leptolyngbyales","Bacteria",NA,NA,NA,NA,NA
"Oculatellales","Bacteria",NA,NA,NA,NA,NA
"Prochlorotrichales","Bacteria",NA,NA,NA,NA,NA
"Acaryochloridales","Bacteria",NA,NA,NA,NA,NA
"Aegeococcales","Bacteria",NA,NA,NA,NA,NA
"Desertifilales","Bacteria",NA,NA,NA,NA,NA
"Nodosilineales","Bacteria",NA,NA,NA,NA,NA
"Thermostichales","Bacteria",NA,NA,NA,NA,NA
"Pseudanabaenales","Bacteria",NA,NA,NA,NA,NA
"Gloeomargaritales","Bacteria",NA,NA,NA,NA,NA
"Chroococcidiopsidales","Bacteria","Chroococcidiopsis","","Cyanophyceae","Cyanobacteriota","Chroococcidiopsidaceae"
"Spirulinales","Bacteria",NA,NA,NA,NA,NA
"Synechococcales","Bacteria",NA,NA,NA,NA,NA
"Gloeobacterales","Bacteria",NA,NA,NA,NA,NA
"Pleurocapsales","Bacteria",NA,NA,NA,NA,NA
"Nostocales","Bacteria","Nostoc","commune","Cyanophyceae","Cyanobacteriota","Nostocaceae"
"Oscillatoriales","Bacteria",NA,NA,NA,NA,NA
"Chroococcales","Bacteria",NA,NA,NA,NA,NA
"Balneolales","Bacteria",NA,NA,NA,NA,NA
"Rhodothermales","Bacteria",NA,NA,NA,NA,NA
"Ignavibacteriales","Bacteria",NA,NA,NA,NA,NA
"Chlorobiales","Bacteria",NA,NA,NA,NA,NA
"Saprospirales","Bacteria",NA,NA,NA,NA,NA
"Chitinophagales","Bacteria",NA,NA,NA,NA,NA
"Cytophagales","Bacteria",NA,NA,NA,NA,NA
"Marinilabiliales","Bacteria",NA,NA,NA,NA,NA
"Bacteroidales","Bacteria",NA,NA,NA,NA,NA
"Sphingobacteriales","Bacteria",NA,NA,NA,NA,NA
"Flavobacteriales","Bacteria",NA,NA,NA,NA,NA
"Homosclerophorida","Animalia",NA,NA,NA,NA,NA
"Amphidiscosida","Animalia",NA,NA,NA,NA,NA
"Aulocalycoida","Animalia",NA,NA,NA,NA,NA
"Hexactinosida","Animalia",NA,NA,NA,NA,NA
"Lyssacinosida","Animalia",NA,NA,NA,NA,NA
"Baerida","Animalia",NA,NA,NA,NA,NA
"Lithonida","Animalia",NA,NA,NA,NA,NA
"Leucosolenida","Animalia",NA,NA,NA,NA,NA
"Murrayonida","Animalia",NA,NA,NA,NA,NA
"Clathrinida","Animalia",NA,NA,NA,NA,NA
"Verongiida","Animalia",NA,NA,NA,NA,NA
"Chondrosiida","Animalia",NA,NA,NA,NA,NA
"Chondrillida","Animalia",NA,NA,NA,NA,NA
"Dictyoceratida","Animalia",NA,NA,NA,NA,NA
"Dendroceratida","Animalia",NA,NA,NA,NA,NA
"Trachycladida","Animalia",NA,NA,NA,NA,NA
"Tetractinellida","Animalia",NA,NA,NA,NA,NA
"Tethyida","Animalia",NA,NA,NA,NA,NA
"Suberitida","Animalia",NA,NA,NA,NA,NA
"Spongillida","Animalia",NA,NA,NA,NA,NA
"Sphaerocladina","Animalia",NA,NA,NA,NA,NA
"Scopalinida","Animalia",NA,NA,NA,NA,NA
"Polymastiida","Animalia",NA,NA,NA,NA,NA
"Merliida","Animalia",NA,NA,NA,NA,NA
"Desmacellida","Animalia",NA,NA,NA,NA,NA
"Clionaida","Animalia",NA,NA,NA,NA,NA
"Bubarida","Animalia",NA,NA,NA,NA,NA
"Biemnida","Animalia",NA,NA,NA,NA,NA
"Axinellida","Animalia",NA,NA,NA,NA,NA
"Agelasida","Animalia",NA,NA,NA,NA,NA
"Poecilosclerida","Animalia",NA,NA,NA,NA,NA
"Haplosclerida","Animalia",NA,NA,NA,NA,NA
"Hoilungea","Animalia",NA,NA,NA,NA,NA
"Trichoplacea","Animalia",NA,NA,NA,NA,NA
"Beroida","Animalia",NA,NA,NA,NA,NA
"Thalassocalycida","Animalia",NA,NA,NA,NA,NA
"Platyctenida","Animalia",NA,NA,NA,NA,NA
"Cydippida","Animalia",NA,NA,NA,NA,NA
"Lobata","Animalia",NA,NA,NA,NA,NA
"Cestida","Animalia",NA,NA,NA,NA,NA
"Polypodiidea","Animalia",NA,NA,NA,NA,NA
"Stauromedusae","Animalia",NA,NA,NA,NA,NA
"Coronatae","Animalia",NA,NA,NA,NA,NA
"Rhizostomeae","Animalia",NA,NA,NA,NA,NA
"Semaeostomeae","Animalia",NA,NA,NA,NA,NA
"Chirodropida","Animalia",NA,NA,NA,NA,NA
"Carybdeida","Animalia",NA,NA,NA,NA,NA
"Malacovalvulida","Animalia",NA,NA,NA,NA,NA
"Multivalvulida","Animalia",NA,NA,NA,NA,NA
"Bivalvulida","Animalia",NA,NA,NA,NA,NA
"Penicillaria (in: tube anenomes)","Animalia",NA,NA,NA,NA,NA
"Spirularia","Animalia",NA,NA,NA,NA,NA
"Scleralcyonacea","Animalia",NA,NA,NA,NA,NA
"Malacalcyonacea","Animalia",NA,NA,NA,NA,NA
"Zoantharia","Animalia",NA,NA,NA,NA,NA
"Corallimorpharia","Animalia",NA,NA,NA,NA,NA
"Antipatharia","Animalia",NA,NA,NA,NA,NA
"Scleractinia","Animalia",NA,NA,NA,NA,NA
"Actiniaria","Animalia",NA,NA,NA,NA,NA
"Actinulida","Animalia",NA,NA,NA,NA,NA
"Limnomedusae","Animalia",NA,NA,NA,NA,NA
"Narcomedusae","Animalia",NA,NA,NA,NA,NA
"Trachymedusae","Animalia",NA,NA,NA,NA,NA
"Leptothecata","Animalia",NA,NA,NA,NA,NA
"Anthoathecata","Animalia",NA,NA,NA,NA,NA
"Siphonophorae","Animalia",NA,NA,NA,NA,NA
"Nemertodermatida","Animalia",NA,NA,NA,NA,NA
"Acoela","Animalia",NA,NA,NA,NA,NA
"Rhabdopleurida","Animalia",NA,NA,NA,NA,NA
"Cephalodiscida","Animalia",NA,NA,NA,NA,NA
"Amphioxiformes","Animalia",NA,NA,NA,NA,NA
"Pyrosomata","Animalia",NA,NA,NA,NA,NA
"Doliolida","Animalia",NA,NA,NA,NA,NA
"Salpida","Animalia",NA,NA,NA,NA,NA
"Copelata","Animalia",NA,NA,NA,NA,NA
"Aplousobranchia","Animalia",NA,NA,NA,NA,NA
"Stolidobranchia","Animalia",NA,NA,NA,NA,NA
"Phlebobranchia","Animalia",NA,NA,NA,NA,NA
"Petromyzontiformes","Animalia",NA,NA,NA,NA,NA
"Myxiniformes","Animalia",NA,NA,NA,NA,NA
"Chimaeriformes","Animalia",NA,NA,NA,NA,NA
"Torpediniformes","Animalia",NA,NA,NA,NA,NA
"Rhinopristiformes","Animalia",NA,NA,NA,NA,NA
"Myliobatiformes","Animalia",NA,NA,NA,NA,NA
"Rajiformes","Animalia",NA,NA,NA,NA,NA
"Coelacanthiformes","Animalia",NA,NA,NA,NA,NA
"Polypteriformes","Animalia",NA,NA,NA,NA,NA
"Squaliformes","Animalia",NA,NA,NA,NA,NA
"Echinorhiniformes","Animalia",NA,NA,NA,NA,NA
"Hexanchiformes","Animalia",NA,NA,NA,NA,NA
"Acipenseriformes","Animalia",NA,NA,NA,NA,NA
"Heterodontiformes","Animalia",NA,NA,NA,NA,NA
"Orectolobiformes","Animalia",NA,NA,NA,NA,NA
"Lamniformes","Animalia",NA,NA,NA,NA,NA
"Carcharhiniformes","Animalia",NA,NA,NA,NA,NA
"Gymnophiona","Animalia",NA,NA,NA,NA,NA
"Ceratodontiformes","Animalia",NA,NA,NA,NA,NA
"Amiiformes","Animalia",NA,NA,NA,NA,NA
"Semionotiformes","Animalia",NA,NA,NA,NA,NA
"Anura","Animalia",NA,NA,NA,NA,NA
"Caudata","Animalia",NA,NA,NA,NA,NA
"Monotremata","Animalia",NA,NA,NA,NA,NA
"Litopterna","Animalia",NA,NA,NA,NA,NA
"Notoungulata","Animalia",NA,NA,NA,NA,NA
"Peramelemorphia","Animalia",NA,NA,NA,NA,NA
"Notoryctemorphia","Animalia",NA,NA,NA,NA,NA
"Diprotodontia","Animalia",NA,NA,NA,NA,NA
"Dasyuromorphia","Animalia",NA,NA,NA,NA,NA
"Microbiotheria","Animalia",NA,NA,NA,NA,NA
"Paucituberculata","Animalia",NA,NA,NA,NA,NA
"Didelphimorphia","Animalia",NA,NA,NA,NA,NA
"Squamata","Animalia",NA,NA,NA,NA,NA
"Sphenodontia","Animalia",NA,NA,NA,NA,NA
"Hiodontiformes","Animalia",NA,NA,NA,NA,NA
"Osteoglossiformes","Animalia",NA,NA,NA,NA,NA
"Notacanthiformes","Animalia",NA,NA,NA,NA,NA
"Albuliformes","Animalia",NA,NA,NA,NA,NA
"Anguilliformes","Animalia",NA,NA,NA,NA,NA
"Elopiformes","Animalia",NA,NA,NA,NA,NA
"Macroscelidea","Animalia",NA,NA,NA,NA,NA
"Tubulidentata","Animalia",NA,NA,NA,NA,NA
"Hyracoidea","Animalia",NA,NA,NA,NA,NA
"Proboscidea","Animalia",NA,NA,NA,NA,NA
"Sirenia","Animalia",NA,NA,NA,NA,NA
"Cingulata","Animalia",NA,NA,NA,NA,NA
"Pilosa","Animalia",NA,NA,NA,NA,NA
"Testudines","Animalia",NA,NA,NA,NA,NA
"Crocodylia","Animalia",NA,NA,NA,NA,NA
"Stomiiformes","Animalia",NA,NA,NA,NA,NA
"Osmeriformes","Animalia",NA,NA,NA,NA,NA
"Lepidogalaxiiformes","Animalia",NA,NA,NA,NA,NA
"Argentiniformes","Animalia",NA,NA,NA,NA,NA
"Galaxiiformes","Animalia",NA,NA,NA,NA,NA
"Esociformes","Animalia",NA,NA,NA,NA,NA
"Salmoniformes","Animalia",NA,NA,NA,NA,NA
"Alepocephaliformes","Animalia",NA,NA,NA,NA,NA
"Clupeiformes","Animalia",NA,NA,NA,NA,NA
"Dermoptera","Animalia",NA,NA,NA,NA,NA
"Primates","Animalia",NA,NA,NA,NA,NA
"Scandentia","Animalia",NA,NA,NA,NA,NA
"Artiodactyla","Animalia",NA,NA,NA,NA,NA
"Carnivora","Animalia",NA,NA,NA,NA,NA
"Pholidota","Animalia",NA,NA,NA,NA,NA
"Perissodactyla","Animalia",NA,NA,NA,NA,NA
"Chiroptera","Animalia",NA,NA,NA,NA,NA
"Eulipotyphla","Animalia",NA,NA,NA,NA,NA
"Ateleopodiformes","Animalia",NA,NA,NA,NA,NA
"Gonorynchiformes","Animalia",NA,NA,NA,NA,NA
"Rodentia","Animalia",NA,NA,NA,NA,NA
"Lagomorpha","Animalia",NA,NA,NA,NA,NA
"Aulopiformes","Animalia",NA,NA,NA,NA,NA
"Gymnotiformes","Animalia",NA,NA,NA,NA,NA
"Siluriformes","Animalia",NA,NA,NA,NA,NA
"Characiformes","Animalia",NA,NA,NA,NA,NA
"Cypriniformes","Animalia",NA,NA,NA,NA,NA
"Myctophiformes","Animalia",NA,NA,NA,NA,NA
"Polymixiiformes","Animalia",NA,NA,NA,NA,NA
"Lampriformes","Animalia",NA,NA,NA,NA,NA
"Percopsiformes","Animalia",NA,NA,NA,NA,NA
"Trachichthyiformes","Animalia",NA,NA,NA,NA,NA
"Beryciformes","Animalia",NA,NA,NA,NA,NA
"Holocentriformes","Animalia",NA,NA,NA,NA,NA
"Suliformes","Animalia",NA,NA,NA,NA,NA
"Accipitriformes","Animalia",NA,NA,NA,NA,NA
"Cariamiformes","Animalia",NA,NA,NA,NA,NA
"Galbuliformes","Animalia",NA,NA,NA,NA,NA
"Upupiformes","Animalia",NA,NA,NA,NA,NA
"Coliiformes","Animalia",NA,NA,NA,NA,NA
"Bucerotiformes","Animalia",NA,NA,NA,NA,NA
"Trogoniformes","Animalia",NA,NA,NA,NA,NA
"Musophagiformes","Animalia",NA,NA,NA,NA,NA
"Strigiformes","Animalia",NA,NA,NA,NA,NA
"Procellariiformes","Animalia",NA,NA,NA,NA,NA
"Podicipediformes","Animalia",NA,NA,NA,NA,NA
"Opisthocomiformes","Animalia",NA,NA,NA,NA,NA
