"search_string","unique_name","approximate_match","score","ott_id","is_synonym","flags","number_matches","Class","Phylum","Kingdom","Order"
"thermoleophilales","Thermoleophilales",FALSE,1,862518,FALSE,"barren, merged",1,NA,NA,"Bacteria","Thermoleophilales"
"solirubrobacterales","Solirubrobacterales",FALSE,1,862512,FALSE,"",1,NA,NA,"Bacteria","Solirubrobacterales"
"egicoccales","Egicoccales",FALSE,1,5885953,FALSE,"",1,NA,NA,"Bacteria","Egicoccales"
"egibacterales","Egibacterales",FALSE,1,5885950,FALSE,"",1,NA,NA,"Bacteria","Egibacterales"
"euzebyales","Euzebyales",FALSE,1,882304,FALSE,"",1,NA,NA,"Bacteria","Euzebyales"
"nitriliruptorales","Nitriliruptorales",FALSE,1,454279,FALSE,"",1,NA,NA,"Bacteria","Nitriliruptorales"
"eggerthellales","Eggerthellales",FALSE,1,5575793,FALSE,"",1,NA,NA,"Bacteria","Eggerthellales"
"coriobacteriales","Coriobacteriales",FALSE,1,132809,FALSE,"",1,NA,NA,"Bacteria","Coriobacteriales"
"rubrobacterales","Rubrobacterales",FALSE,1,132816,FALSE,"",1,NA,NA,"Bacteria","Rubrobacterales"
"acidimicrobiales","Acidimicrobiales",FALSE,1,132824,FALSE,"",1,NA,NA,"Bacteria","Acidimicrobiales"
"jatrophihabitantales","Jatrophihabitans",TRUE,0.75,5290868,FALSE,"",1,NA,NA,"Bacteria","Jatrophihabitans"
"motilibacterales","Motilibacteraceae",TRUE,0.823529422283173,5286597,FALSE,"barren, sibling_higher, merged",2,NA,NA,"Bacteria","Motilibacteraceae"
"sporichthyales","Sporichthyales",FALSE,1,7003286,FALSE,"barren, merged",1,NA,NA,"Bacteria","Sporichthyales"
"cryptosporangiales","Cryptosporangiales",FALSE,1,7003089,FALSE,"barren, merged",1,NA,NA,"Bacteria","Cryptosporangiales"
"nakamurellales","Nakamurellales",FALSE,1,5580888,FALSE,"barren, merged",1,NA,NA,"Bacteria","Nakamurellales"
"acidothermales","Acidothermales",FALSE,1,5580887,FALSE,"barren, merged",1,NA,NA,"Bacteria","Acidothermales"
"geodermatophilales","Geodermatophilales",FALSE,1,5580886,FALSE,"barren, merged",1,NA,NA,"Bacteria","Geodermatophilales"
"jiangellales","Jiangellales",FALSE,1,151207,FALSE,"barren, merged",1,NA,NA,"Bacteria","Jiangellales"
"kineosporiales","Kineosporiales",FALSE,1,5246950,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Kineosporiales"
"actinopolysporales","Actinopolysporales",FALSE,1,5246954,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Actinopolysporales"
"catenulisporales","Catenulisporales",FALSE,1,5246946,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Catenulisporales"
"glycomycetales","Glycomycetales",FALSE,1,5246951,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Glycomycetales"
"frankiales","Frankiales",FALSE,1,856863,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Frankiales"
"streptosporangiales","Streptosporangiales",FALSE,1,856865,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Streptosporangiales"
"kitasatosporales","Kitasatospora",TRUE,0.769230782985687,700219,FALSE,"",1,NA,NA,"Bacteria","Kitasatospora"
"pseudonocardiales","Pseudonocardiales",FALSE,1,5246942,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Pseudonocardiales"
"propionibacteriales","Propionibacteriales",FALSE,1,282090,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Propionibacteriales"
"micromonosporales","Micromonosporales",FALSE,1,282088,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Micromonosporales"
"mycobacteriales","Myxobacterales",TRUE,0.857142865657806,5269499,FALSE,"hidden, barren",5,NA,NA,"Bacteria","Myxobacterales"
"micrococcales","Micrococcales",FALSE,1,282101,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Micrococcales"
"bifidobacteriales","Bifidobacteriales",FALSE,1,282109,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Bifidobacteriales"
"actinomycetales","Actinomycetales",FALSE,1,227887,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Actinomycetales"
"thermoflexales","Thermoflexales",FALSE,1,5354397,FALSE,"",1,NA,NA,"Bacteria","Thermoflexales"
"ardenticatenales","Ardenticatenales",FALSE,1,5245628,FALSE,"barren, sibling_higher, merged",1,NA,NA,"Bacteria","Ardenticatenales"
"caldilineales","Caldilineales",FALSE,1,533645,FALSE,"",1,NA,NA,"Bacteria","Caldilineales"
"thermogemmatisporales","Thermogemmatisporales",FALSE,1,846246,FALSE,"",1,NA,NA,"Bacteria","Thermogemmatisporales"
"ktedonobacterales","Ktedonobacterales",FALSE,1,818912,FALSE,"",1,NA,NA,"Bacteria","Ktedonobacterales"
"dehalococcoidales","Dehalococcoidales",FALSE,1,438718,FALSE,"",1,NA,NA,"Bacteria","Dehalococcoidales"
"anaerolineales","Anaerolineales",FALSE,1,974234,FALSE,"",1,NA,NA,"Bacteria","Anaerolineales"
"kallotenuales","Kallotenuales",FALSE,1,5575035,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Kallotenuales"
"herpetosiphonales","Herpetosiphonales",FALSE,1,1085858,FALSE,"",1,NA,NA,"Bacteria","Herpetosiphonales"
"chloroflexales","Chloroflexales",FALSE,1,984934,FALSE,"",1,NA,NA,"Bacteria","Chloroflexales"
"fimbriimonadales","Fimbriimonadales",FALSE,1,5575193,FALSE,"",1,NA,NA,"Bacteria","Fimbriimonadales"
"chthonomonadales","Chthonomonadales",FALSE,1,857293,FALSE,"",1,NA,NA,"Bacteria","Chthonomonadales"
